EID	Peak_group	Elements	Proportion of elements
E048	Peaks in short LOCKs	5' UTR	0.801519456339021
E048	Peaks in short LOCKs	exon	3.37807703943039
E048	Peaks in short LOCKs	Intergenic	33.7670478822109
E048	Peaks in short LOCKs	intron	41.7059889409028
E048	Peaks in short LOCKs	non-coding	2.04340680075224
E048	Peaks in short LOCKs	promoter-TSS	13.4876700110092
E048	Peaks in short LOCKs	TTS	2.89622973980246
E048	Typical peaks	3' UTR	0.837776949958313
E048	Typical peaks	5' UTR	0.533304950951697
E048	Typical peaks	exon	1.62971635357352
E048	Typical peaks	Intergenic	48.7913008000284
E048	Typical peaks	intron	37.9577457293385
