EID	MD_anno	TSG_OG_anno	OgOrTsgToAllGenes
E050	L	OG	0.0581395348837209
E050	L	TSG	0.0174418604651163
E053	L	OG	0.0524691358024691
E053	L	TSG	0.0246913580246914
E054	L	OG	0.0436241610738255
E054	L	TSG	0.023489932885906
E055	L	OG	0.032171581769437
E055	L	TSG	0.0187667560321716
E056	L	OG	0.0327868852459016
E056	L	TSG	0.0245901639344262
E057	L	OG	0.0503978779840849
E057	L	TSG	0.0212201591511936
E058	L	OG	0.0713178294573643
E058	L	TSG	0.0248062015503876
E059	L	OG	0.0638297872340425
E059	L	TSG	0.0170212765957447
E061	L	OG	0.0885416666666667
E061	L	TSG	0.0321180555555556
E062	L	OG	0.0614035087719298
E062	L	TSG	0.0275689223057644
E065	L	OG	0.0844004656577416
E065	L	TSG	0.0325960419091967
E066	L	OG	0.0900548159749413
E066	L	TSG	0.0305403288958496
E070	L	OG	0.0502793296089385
E070	L	TSG	0.0279329608938547
E071	L	OG	0.0501432664756447
E071	L	TSG	0.0128939828080229
E079	L	OG	0.0705882352941176
E079	L	TSG	0.0235294117647059
E082	L	OG	0.0576271186440678
E082	L	TSG	0.0271186440677966
E084	L	OG	0.0549084858569052
E084	L	TSG	0.0232945091514143
E085	L	OG	0.0628571428571429
E085	L	TSG	0.02
E087	L	OG	0.0862573099415205
E087	L	TSG	0.0292397660818713
E094	L	OG	0.0916580844490216
E094	L	TSG	0.0355303810504634
E095	L	OG	0.070555032925682
E095	L	TSG	0.026340545625588
E096	L	OG	0.0669240669240669
E096	L	TSG	0.0218790218790219
E097	L	OG	0.082046332046332
E097	L	TSG	0.0328185328185328
E098	L	OG	0.0953389830508475
E098	L	TSG	0.0370762711864407
E100	L	OG	0.0636792452830189
E100	L	TSG	0.0188679245283019
E104	L	OG	0.0834326579261025
E104	L	TSG	0.0274135876042908
E105	L	OG	0.0554455445544554
E105	L	TSG	0.0237623762376238
E106	L	OG	0.0682438580527752
E106	L	TSG	0.0272975432211101
E109	L	OG	0.0634037819799778
E109	L	TSG	0.0255839822024472
E112	L	OG	0.0355871886120996
E112	L	TSG	0.0106761565836299
E113	L	OG	0.0588235294117647
E113	L	TSG	0.0269607843137255
E116	L	OG	0.0684931506849315
E116	L	TSG	0.0234833659491194
E119	L	OG	0.0866728797763281
E119	L	TSG	0.0391425908667288
E120	L	OG	0.0732484076433121
E120	L	TSG	0.0318471337579618
E122	L	OG	0.0792452830188679
E122	L	TSG	0.0320754716981132
E127	L	OG	0.0615384615384615
E127	L	TSG	0.0230769230769231
E128	L	OG	0.0425531914893617
E128	L	TSG	0.024822695035461
