gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
NOG	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
EPX	Tumor-loss LOCKs	common PMDs	-0.854254510580434	NE2_KYSE510.T	KYSE510	-0.854254510580434
ROCR	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01152	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SOX9-AS1	Tumor-loss LOCKs	common PMDs	-0.948407098985169	NE2_KYSE510.T	KYSE510	-0.948407098985169
LINC02097	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC00469	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC02092	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC02074	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MGC16275	Shared LOCKs	common PMDs	-0.193765615901112	NE2_KYSE510.T	KYSE510	-0.193765615901112
TTYH2	Shared LOCKs	common PMDs	-0.910040697753775	NE2_KYSE510.T	KYSE510	-0.910040697753775
DNAI2	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CD300LB	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CD300C	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CD300LD	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CD300E	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01987	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01973	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
RBFOX3	Shared LOCKs	common PMDs	-0.932439705208166	NE2_KYSE510.T	KYSE510	-0.932439705208166
ADCYAP1	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01904	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC00470	Tumor-gain LOCKs	common PMDs	-0.994843192681375	NE2_KYSE510.T	KYSE510	-0.994843192681375
DLGAP1-AS5	Tumor-gain LOCKs	common PMDs	-0.811555333122757	NE2_KYSE510.T	KYSE510	-0.811555333122757
LINC01887	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
PIEZO2	Tumor-loss LOCKs	common PMDs	-0.999195083361528	NE2_KYSE510.T	KYSE510	-0.999195083361528
MIR6788	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01928	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01255	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SLC35G4	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
GNAL	Tumor-loss LOCKs	common PMDs	-0.579649748283466	NE2_KYSE510.T	KYSE510	-0.579649748283466
ANKRD62	Tumor-loss LOCKs	common PMDs	-0.9964334441035	NE2_KYSE510.T	KYSE510	-0.9964334441035
LINC01915	Shared LOCKs	common PMDs	-0.988317644445208	NE2_KYSE510.T	KYSE510	-0.988317644445208
LINC01894	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
KLHL14	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SLC14A1	Tumor-loss LOCKs	common PMDs	-0.991745316389517	NE2_KYSE510.T	KYSE510	-0.991745316389517
LOXHD1	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
ST8SIA5	Tumor-loss LOCKs	common PMDs	-0.988957935998715	NE2_KYSE510.T	KYSE510	-0.988957935998715
SKOR2	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MIR4527HG	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MIR4527	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MAPK4	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
GRP	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
RAX	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01922	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
DIPK1C	Tumor-loss LOCKs	common PMDs	-0.993748338124241	NE2_KYSE510.T	KYSE510	-0.993748338124241
