gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
HNRNPKP3	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MIR670	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MIR670HG	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MIR129-2	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02696	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02687	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CHST1	Shared LOCKs	common PMDs	-0.88652543500493	NE2_KYSE450.T	KYSE450	-0.88652543500493
MIR7154	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02690	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02716	Tumor-gain LOCKs	common PMDs	-0.931370216788647	NE2_KYSE450.T	KYSE450	-0.931370216788647
LRRC55	Tumor-gain LOCKs	common PMDs	-0.989906444720485	NE2_KYSE450.T	KYSE450	-0.989906444720485
GLYATL2	Shared LOCKs	common PMDs	-0.922733518621894	NE2_KYSE450.T	KYSE450	-0.922733518621894
GLYATL1	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
GLYATL1B	Shared LOCKs	common PMDs	-0.94989033619648	NE2_KYSE450.T	KYSE450	-0.94989033619648
OR5AN1	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR5A2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR5A1	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR4D6	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR4D10	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OOSP4B	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OOSP2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
